"","Sub_region","HAB","mod","jday","mDIC_mn","mDIC_se","mOmA_mn","mOmA_se","mPAR8_mn","mPAR8_se","mPARm_mn","mPARm_se","mTA_mn","mTA_se","mTemp_mn","mTemp_se","Perturbation"
"1","BB","AL",0.5,1,2089.24016181049,7.19257965035443,3.51216780419376,0.0240783138082409,27.86985206604,0.750041615344468,27.937777766475,0.595514147904165,2400.02495466935,4.79441057813688,24.5155703703704,0.312816108784302,"Half Cover"
"2","BB","AL",0.5,8,2083.32060643886,5.53695557947803,3.54875129528551,0.0184228467171277,29.0638789552631,0.707029432836855,29.6074544155236,0.809230497754078,2399.62584450708,3.87383440116016,23.9507106060606,0.29235125512294,"Half Cover"
"3","BB","AL",0.5,15,2087.35920253019,6.48860491771219,3.53927287271234,0.0219097526173388,28.8358520931668,0.855308113115581,30.2074813136348,0.948059300157456,2402.43224431404,4.53274495085749,23.8072388888889,0.345242442481647,"Half Cover"
"4","BB","AL",0.5,22,2087.35920253019,6.48860491771219,3.53927287271234,0.0219097526173388,28.8358520931668,0.855308113115581,30.2074813136348,0.948059300157456,2402.43224431404,4.53274495085749,23.8072388888889,0.345242442481647,"Half Cover"
"5","BB","AL",0.5,29,2087.35920253019,6.48860491771219,3.53927287271234,0.0219097526173388,28.8358520931668,0.855308113115581,30.2074813136348,0.948059300157456,2402.43224431404,4.53274495085749,23.8072388888889,0.345242442481647,"Half Cover"
"6","BB","AL",0.5,36,2085.40756689085,7.86048049319493,3.5675447919953,0.0212121881772302,30.4838668823242,0.655136078031731,31.965199915568,1.20576727983286,2406.00560104944,6.12547896756699,22.8957833333333,0.376463063630123,"Half Cover"
"7","BB","AL",0.5,43,2068.75943895553,5.8511797569975,3.65350152784104,0.0284885898822955,33.8964445326063,1.05258532720358,37.5242221620348,1.71080779301229,2397.21943778983,3.48973972962495,23.5692083333333,0.264571323403508,"Half Cover"
"8","BB","AL",0.5,50,2071.11299184124,5.30340220268717,3.65782195446433,0.0237570756612847,35.8218332926432,1.08285810855407,38.1879165172577,1.30194054897009,2399.15118150906,3.07147998964467,23.78165625,0.2121839077317,"Half Cover"
"9","BB","AL",0.5,57,2071.11299184124,5.30340220268717,3.65782195446433,0.0237570756612847,35.8218332926432,1.08285810855407,38.1879165172577,1.30194054897009,2399.15118150906,3.07147998964467,23.78165625,0.2121839077317,"Half Cover"
"10","BB","AL",0.5,64,2061.89487219224,7.74933248796461,3.73392733095193,0.0291253986471531,40.1726663907369,1.11601094205044,43.170833269755,0.979639853026164,2396.2876246902,4.06482841532959,24.4460833333333,0.0899744457267639,"Half Cover"
"11","BB","AL",0.5,71,2058.57235547404,5.52315712412265,3.75821856651448,0.0248372559532107,43.8413332833184,1.46526257424592,45.5809997982449,1.06638428092227,2395.11397331026,3.02699717432294,24.5745222222222,0.12650756430807,"Half Cover"
"12","BB","AL",0.5,78,2058.57235547404,5.52315712412265,3.75821856651448,0.0248372559532107,43.8413332833184,1.46526257424592,45.5809997982449,1.06638428092227,2395.11397331026,3.02699717432294,24.5745222222222,0.12650756430807,"Half Cover"
"13","BB","AL",0.5,85,2058.57235547404,5.52315712412265,3.75821856651448,0.0248372559532107,43.8413332833184,1.46526257424592,45.5809997982449,1.06638428092227,2395.11397331026,3.02699717432294,24.5745222222222,0.12650756430807,"Half Cover"
"14","BB","AL",0.5,92,2048.58994933405,5.5813185240888,3.79858755327537,0.0239228669329707,47.3774999777476,1.67985802781983,47.0876663525899,0.963114135277105,2388.65270802319,3.31269670154427,25.2148291666667,0.251870080343882,"Half Cover"
"15","BB","AL",0.5,99,2049.58123448337,7.45974510006498,3.7990929285106,0.0320140768427122,50.2542222340902,1.67952168202672,47.395999484592,1.27090226074762,2388.9939984597,4.42078077509629,25.46205,0.31175701576562,"Half Cover"
"16","BB","AL",0.5,106,2045.35165706455,6.04434678815106,3.83000529846206,0.0241706290132128,54.1415555742052,0.834756558590268,49.5607776641846,0.555314790343253,2387.15878588856,3.83246832751002,26.0446055555556,0.255342020595601,"Half Cover"
"17","BB","AL",0.5,113,2045.35165706455,6.04434678815106,3.83000529846206,0.0241706290132128,54.1415555742052,0.834756558590268,49.5607776641846,0.555314790343253,2387.15878588856,3.83246832751002,26.0446055555556,0.255342020595601,"Half Cover"
"18","BB","AL",0.5,120,2045.35165706455,6.04434678815106,3.83000529846206,0.0241706290132128,54.1415555742052,0.834756558590268,49.5607776641846,0.555314790343253,2387.15878588856,3.83246832751002,26.0446055555556,0.255342020595601,"Half Cover"
"19","BB","AL",0.5,127,2042.95912516756,6.4615413638636,3.83742961786715,0.0220320121282762,56.5862221188016,0.74444173092824,50.5844442579481,0.74847783386972,2383.87088441526,3.97256846428984,26.9258611111111,0.165979704472141,"Half Cover"
"20","BB","AL",0.5,134,2042.95912516756,6.4615413638636,3.83742961786715,0.0220320121282762,56.5862221188016,0.74444173092824,50.5844442579481,0.74847783386972,2383.87088441526,3.97256846428984,26.9258611111111,0.165979704472141,"Half Cover"
"21","BB","AL",0.5,141,2042.95912516756,6.4615413638636,3.83742961786715,0.0220320121282762,56.5862221188016,0.74444173092824,50.5844442579481,0.74847783386972,2383.87088441526,3.97256846428984,26.9258611111111,0.165979704472141,"Half Cover"
"22","BB","AL",0.5,148,2055.60202463289,5.73198459612149,3.79237572873983,0.0188464641747971,55.1982354556813,1.03769196104973,49.429058972527,0.89128486082984,2388.47000418944,3.68399072049584,27.7248823529412,0.390814380138683,"Half Cover"
